IP,Q3.7,air.content,recycling.content,V10,air.content.coder2,recycling.content.coder2
46.19.85.156,"ניקיון ,השקעה בתשתיות השקעה בגנים צבוריים בשכונות ובגני הילדים הערוניים",0,0,1,0,0
37.142.129.174,לא יודעת,0,0,1,,
37.46.39.124,,0,0,1,,
46.19.85.143,,0,0,1,,
141.226.88.186,,0,0,1,,
176.12.143.112,,0,0,1,,
80.179.207.215,,0,0,1,,
77.127.25.146,הרבה זבל של אתרי בנייה בעיקר מימה שראיתי ,0,0,1,0,0
77.127.112.193,,0,0,1,,
87.69.166.247,שימור החוף והחולות / מיחזור / שימוש יעיל במים ואנרגית שמש / תחבורה יעילה,0,0,1,0,1
91.208.139.250,,0,0,1,,
2.53.169.112,בתי זיקוק והמפעלים המפיצים פסולת לאויר. וגם מיכלי האמוניה,1,0,1,0,0
37.60.47.76,,0,0,1,,
81.218.101.3,,0,0,1,,
82.166.114.65,,0,0,1,,
77.138.46.123,,0,0,1,,
2.55.17.56,,0,0,1,,
2.53.185.83,לא יודע,0,0,1,,
84.229.67.97,,0,0,1,,
109.64.3.154,,0,0,1,,
212.235.34.245,המפעלים הכימיים בצ'ק פוסט,0,0,1,1,0
91.227.71.250,ריח של ביוב בחלק מרחובות העיר,0,0,1,1,0
185.32.176.153,זיהום אוויר,1,0,1,1,0
81.218.117.133,,0,0,1,,
199.203.215.1,פקקים וזיהום אוויר,1,0,1,1,0
132.68.28.2,"בתי הזיקוק, כל המפעלים הפטרוכימיים",1,0,1,1,0
217.132.35.8,"בשכונת אם המושבות, הנמצאת בסמוך לאיזור התעשייה סגולה ישנם מידי יום ריחות רעים ואדי גזים הנשרפים מהמפעלים שם. תושבי השכונה הפגינו כבר מספר פעמים על כך. / כמו כן כמובן שיש את עניין בניית הרכבת הקלה לביטול נתיב התחבורה הציבורית ",1,0,1,1,0
91.227.71.250,"אזור תעשיה קרובה לעיר , בתי זיקוק",1,0,1,1,0
37.26.148.250,אי פינוי פסולת למיחזור,0,1,1,0,1
2.53.172.218,,0,0,1,,
46.19.86.211,מפרץ חיפה,1,0,1,0,0
46.19.85.218,ניקוז ובעלי חיים כמו כלבים משותתים,0,0,1,0,0
80.178.116.130,אזור התעשייה,1,0,1,0,0
213.57.105.16,,0,0,1,,
79.176.51.216,"כבישים לא תקינים, כל פעם מסדרים אבל עדיין הרבה מקומות הכבישים לא איכותיים לנסיעה תקינה ובטוחה. / בהמשך לכך מספר שכונות הראות של הצמתים לקויה ואף גובלת בסיכון בטיחותי.",0,0,1,0,0
82.80.160.151,אגני החימצון,0,0,1,0,0
109.226.23.178,מפעלי כימיה,1,0,1,1,0
2.55.55.1,,0,0,1,,
79.179.2.240,,0,0,1,,
46.19.85.37,,0,0,1,,
94.188.158.129,זיהום אוויר,1,0,1,1,0
185.125.12.241,זיהום אוויר ומים,1,0,1,1,0
176.12.219.208,בתי זיקוק,1,0,1,1,0
77.138.54.172,,0,0,1,,
213.57.88.162,"מגורים באותה עיר עם ""ערב רב""- אנשים ברמה מאד נמוכה שמטרידים, סמים, פושעים וכו' וכו'",0,0,1,0,0
89.139.105.55,פגיעה ברצועות חוף על ידי בנייה בלתי פוסקת על כל אדמה פנויה בכיוון הים,0,0,1,0,0
2.55.63.245,יתושים בקיץ / שלוליות בחורף / מחסור בחוגים וגני שעשועים מושקעים וגדולים,0,0,1,0,0
199.203.215.1,זיהום אוויר ופסולת מרובה,1,0,1,1,0
62.219.24.52,,0,0,1,,
199.203.251.74,,0,0,1,,
85.250.116.172,,0,0,1,,
46.19.85.109,זיהום אוויר,1,0,1,1,0
2.53.143.108,.,0,0,1,,
109.186.116.134,,0,0,1,,
46.19.85.7,,0,0,1,,
2.55.62.211,זיהום אוויר,1,0,1,1,0
193.186.163.3,מלא יתושים ומאגרי מים פתוחים.,0,0,1,,
46.19.86.255,,0,0,1,,
77.138.50.196,תושבים לא מנקים אחרי הכלבים שלהם / ,0,0,1,0,0
5.28.138.43,"מיכלי האמוניה ,בתי זיקוק והזיהום בחוף הים",1,0,1,1,0
82.81.59.73,זיהום סביבתי אבל לא של מפעלים כי אם דווא של מקומות כמו נמל חיפה.,0,0,1,0,0
5.29.192.111,,0,0,1,,
79.180.28.206,תחבורה,0,0,1,0,0
46.117.219.128,"מפעלי בז""ן",1,0,1,1,0
93.172.79.110,,0,0,1,,
5.29.207.192,הרבה,0,0,1,,
37.142.167.209,,0,0,1,,
93.172.93.225,הניקוז,0,0,1,,
37.142.161.238,,0,0,1,,
46.19.86.156,"לא מייבשים שלוליות שגורמות למושבה של יתושים, לא מנקים מספיק את הרחובות, הגני ילדים מלאים בצואת חתולים",0,0,1,0,0
193.169.70.108,זיהום אויר,1,0,1,1,0
2.53.129.76,בתי זיקוק והזיהום אוויר,1,0,1,1,0
192.115.206.194,,0,0,1,,
84.108.117.70,,0,0,1,,
109.226.23.178,,0,0,1,,
62.90.220.110,,0,0,1,,
2.53.164.64,,0,0,1,,
213.8.204.68,זיהום אוויר,1,0,1,1,0
46.19.85.151,זיהום אוויר,1,0,1,1,0
31.154.71.1,,0,0,1,,
2.55.25.201,,0,0,1,,
46.19.86.75,,0,0,1,,
37.26.149.180,,0,0,1,,
37.142.163.16,,0,0,1,,
82.81.63.2,,0,0,1,,
2.53.18.152,,0,0,1,,
31.154.81.87,בתי זיקוק ומיכלי האמוניה,1,0,1,1,0
2.53.27.83,,0,0,1,,
84.111.186.15,בעיית תשתיות,0,0,1,0,0
77.138.217.14,יוקר,0,0,1,0,0
62.219.44.190,,0,0,1,,
37.142.29.115,מכירים,0,0,1,0,0
80.246.131.233,פעילי איכות הסביבה,0,0,1,0,0
84.108.121.88,,0,0,1,,
5.29.185.176,זיהום אוויר,1,0,1,1,0
31.186.239.250,,0,0,1,1,0
109.66.62.16,זיהום האוויר,1,0,1,,
62.219.211.230,,0,0,1,,
62.90.111.99,,0,0,1,,
132.71.160.52,,0,0,1,,
81.218.101.3,,0,0,1,,
185.3.147.162,,0,0,1,,
31.168.73.102,,0,0,1,,
2.55.37.158,פחים למחזור,0,1,1,0,1
176.228.146.161,זיהום אוויר,1,0,1,1,0
46.121.218.161,איסוף המחזור,0,1,1,0,1
37.142.231.243,זיהום אוויר ממפעלי אזור המפרץ,1,0,1,1,0
37.142.163.132,,0,0,1,,
31.168.8.110,"מחסור במקום לימוד, הילדות לומדות בקרוונים או במקלטים כי אין מספיק כיתות לימוד,מספר הבנות בכיתה הוא המקסימום שמותר מבחינת החוק. מדובר בבי""ס מגזרי חרדי, שיש אחד כמותו באזור מרכז העיר כך שאין אופציות שונות כמו בציבור החילוני. / ביחס לכמעט 1000 שח לחודשיים ארנונה שזה גבוה לעומת ערים אחרות, אני מצפה לקבל תמורה בסיסית למה שאני משלמת",0,0,1,0,0
77.125.65.35,,0,0,1,,
213.8.114.208,,0,0,1,,
46.19.86.35,,0,0,1,,
141.226.174.9,חינוך,0,0,1,0,0
46.19.85.87,זיהום אוויר,1,0,1,1,0
141.226.180.238,,0,0,1,,
37.26.148.143,,0,0,1,,
46.19.85.177,זיהום אויר,1,0,1,1,0
185.32.179.213,הצפות מים בימים גשומים בשל תשתיות לקויות. יתושים ללא הפסקה בלי שהעירייה דואגת לרסס. זיהום חוף פלמחים,0,0,1,0,0
46.116.252.113,,0,0,1,,
109.186.122.229,,0,0,1,,
2.53.29.144,הזבל שנזרק לפעמים על המדרכות ,0,0,1,0,0
2.53.58.26,,0,0,1,,
82.80.182.34,,0,0,1,,
2.53.183.239,,0,0,1,,
2.53.154.95,,0,0,1,,
46.19.86.240,זיהום אוויר מהבתי הזיקוק,1,0,1,1,0
79.177.103.16,,0,0,1,,
79.180.134.128,פסולת בניין והזנחת רחובות העיר,0,0,1,,
109.66.135.33,זיהום מהמפעלים,1,0,1,,
84.110.56.67,זיהום אוויר,1,0,1,,
37.142.160.74,,0,0,1,,
192.114.17.112,,0,0,1,,
93.172.102.240,בניית מגדלים לאורך הים - משמע חסימה של אוויר הים לשאר חלקי העיר,0,0,1,,
85.65.199.48,,0,0,1,,
176.13.19.48,זיהום אוויר כבדדדדדדד מאוד,1,0,1,,
84.108.171.36,אין לי בעיה מטרידה,0,0,1,,
46.19.86.244,זיהום אוויר,1,0,1,,
37.26.148.229,עליה שאיננה יהודית,0,0,1,,
80.179.118.137,,0,0,1,,
217.132.191.113,,0,0,1,,
84.95.86.72,,0,0,1,,
79.177.201.124,,0,0,1,,
85.64.32.61,כל איזור הצ'ק פוסטט והמפעלםים,1,0,1,,
80.178.162.154,,0,0,1,,
109.186.104.227,המפעלים המזהמים,1,0,1,,
82.81.38.44,,0,0,1,,
85.250.141.252,לא יודעת,0,0,1,,
37.26.146.194,,0,0,1,,
176.12.157.33,הזיהום שנוצר כתוצאה ממיכלי האמוניה וכל הרעלים שמקורם בבתי זיקוק,1,0,1,,
2.53.178.252,אין,0,0,1,,
93.172.138.170,בתי הזיקוק,1,0,1,,
37.26.148.245,,0,0,1,,
195.62.18.252,"זיהום אויר , רחובות מלוכלכים , תחבורה ציבורית לא מפותחת שגורמת לפקקי תנועה נוראים ומזהמים , מעט מידי ריאות ירוקות במרכז העיר .",1,0,1,,
91.227.71.250,,0,0,1,,
37.19.119.173,,0,0,1,,
87.69.227.111,זהום האוויר / תחבורה,1,0,1,,
2.53.176.82,,0,0,1,,
2.53.137.207,זיהום האוויר הנובע מהמפעלים המזהמים,1,0,1,,
141.226.218.20,,0,0,1,,
132.68.80.18,זיהום אוויר,1,0,1,,
31.44.135.237,,0,0,1,,
37.26.146.144,,0,0,1,,
79.182.144.219,,0,0,1,,
37.142.164.87,,0,0,1,,
37.26.148.236,איכות הסביבה ,0,0,1,,
109.186.122.12,בתי זיקוק,0,0,1,,
185.120.126.254,שועלים וחזירי בר באזור כבישי מערב העיר. אבל מעל הכל הבעיה המטרידה ביותר היא פקקי הענק באזור בשעות העומס.,0,0,1,,
46.19.86.180,מרוחק מידי,0,0,1,,
141.226.218.124,גינות ציבוריות,0,0,1,,
195.128.145.14,כבישים (מח' תחבורה) על הפנים / וצפיפיות חניות בשכונות יוקרה,0,0,1,,
176.13.248.128,זיהום. תשתיות. ניקוז לקוי ,0,0,1,,
209.88.198.1,,0,0,1,,
77.125.91.146,אבדן ובזבוז מזון,0,0,1,,
95.86.71.15,,0,0,1,,
89.139.112.1,,0,0,1,,
109.186.122.12,בתי זיקוק,1,0,1,,
84.229.22.157,שימור חוף הים,0,0,1,,
46.31.101.92,,0,0,1,,
176.12.143.69,נקיון וסדר. עקיפת החוק. שחיתות בערייה. ,0,0,1,,
82.80.84.168,לא רואה בעיה סביבתית מטרידה באזור מגוריי,0,0,1,,
93.172.211.58,,0,0,1,,
2.53.20.250,,0,0,1,,
213.151.53.129,,0,0,1,,
2.53.132.5,,0,0,1,,
212.143.43.181,"זיהום אוויר, בתי זיקוק וכדומה. ",1,0,1,,
85.65.209.101,,0,0,1,,
46.19.86.76,לא ממחזרים מספיק,0,1,1,,
82.166.137.92,זיהום אויר,1,0,1,,
37.142.161.100,הבנייה ,0,0,1,,
213.8.204.35,,0,0,1,,
93.172.100.8,זבל שלא מפונה,0,0,1,,
77.139.242.81,זיהום אוויר,1,0,1,,
37.26.146.137,,0,0,1,,
2.53.189.62,הזיהום!!!!,1,0,1,,
91.227.71.250,זיהום האוויר מהמפעלים מסביב,1,0,1,,
31.210.182.50,באזור שלי אין ממש בעיה סביבתית..,0,0,1,,
213.57.47.160,,0,0,1,,
93.172.124.185,,0,0,1,,
62.0.102.190,יעיע,0,0,1,,
77.138.67.107,בתי הזיקוק,1,0,1,,
62.219.229.159,,0,0,1,,
77.138.67.174,,0,0,1,,
79.183.124.174,,0,0,1,,
176.12.141.160,הבנייה של מתחמי העסקים,0,0,1,,
62.219.151.159,"אי מחזור בבתים, אי מודעות לצריכה מופחתחת ושימוש חוזר בדברים",0,1,1,,
80.178.122.66,,0,0,1,,
77.127.72.178,,0,0,1,,
80.246.139.193,אין,0,0,1,,
82.81.140.182,אין מספיק מתקני ספורת,0,0,1,,
2.55.182.112,,0,0,1,,
5.29.201.162,"מפעלי הזיקוק שגורמים לזיהום אוויר כבד באיזור הקריות, / המון כבישים בחיפה הרוסים- מלאי בורות. / ",1,0,1,,
2.53.184.142,.,0,0,1,,
37.142.231.47,,0,0,1,,
176.228.143.193,זיהום אויר(בתי זיקוק ומפעלים דומים),1,0,1,,
141.226.88.102,זיהום אוויר,1,0,1,,
141.226.146.81,,0,0,1,,
2.55.31.42,זיהום,1,0,1,,
46.19.86.76,,0,0,1,,
2.53.174.96,,0,0,1,,
77.125.47.145,חתולי רחוב   ,0,0,1,,
91.208.139.250,זיהום אוויר!,1,0,1,,
80.179.37.248,הרבה זיהום אוויר וחומרים מסוכנים ממפעלים באיזור,1,0,1,,
213.151.37.155,זיהום אויר,1,0,1,,
5.29.241.135,לא משהו מיוחד,0,0,1,,
2.53.59.66,,0,0,1,,
89.139.119.181,,0,0,1,,
2.53.138.49,אשפה ברחובות,0,0,1,,
46.19.86.129,זיהום אויר מכיוון המפרץ (מפעלים),1,0,1,,
79.183.48.3,,0,0,1,,
2.53.5.156,,0,0,1,,
89.237.90.147,"מחסור בשטחים ירוקים, פקקים בכביש החוף",0,0,1,,
82.81.7.184,,0,0,1,,
37.26.147.180,,0,0,1,,
199.203.186.52,יתושים,0,0,1,,
37.142.162.236,מדרכות,0,0,1,,
81.218.33.195,זיהום אוויר,1,0,1,,
77.138.61.129,,0,0,1,,
2.53.138.49,זיהום אויר,1,0,1,,
77.138.63.184,לא יודעת,0,0,1,,
46.116.127.62,יתושים וזיהום אויר,1,0,1,,
5.29.25.147,,0,0,1,,
5.22.134.98,,0,0,1,,
212.179.21.197,,0,0,1,,
77.138.61.204,,0,0,1,,
2.55.178.38,,0,0,1,,
31.210.187.173,זיהום אויר,1,0,1,,
37.142.3.56,,0,0,1,,
37.142.81.188,,0,0,1,,
212.235.115.124,בתי זיקוק!!!!,1,0,1,,
5.29.155.198,בתי זיקוק מיכל הרמוניה זיהום האוויר,1,0,1,,
91.207.90.238,,0,0,1,,
37.142.238.154,,0,0,1,,
212.179.28.215,"זיהום האוויר, וביצות שמביאות הרבה יתושים",1,0,1,,
46.117.215.189,,0,0,1,,
89.139.201.220,,0,0,1,,
79.179.203.14,,0,0,1,,
84.108.248.116,,0,0,1,,
89.237.83.123,זיהום אוויר,1,0,1,,
37.142.7.19,זיהום אויר חמור והימצאות מתקנים מסוכנים,1,0,1,,
89.138.85.160,,0,0,1,,
37.142.171.217,זיהום אוויר נוראי ממפעלים באיזור התעשייה בחיפה. / זיהום רצועת החוף והים כתוצאה מהזרמת ביוב ושפכים בנוסף להיעדר פיקוח.,1,0,1,,
109.66.50.158,זיהום אוויר,1,0,1,,
46.19.85.59,,0,0,1,,
82.81.160.69,זיהום אוויר ממפעלים קרובים ומסביבת חיפה,1,0,1,,
2.53.190.250,גניבה,0,0,1,,
31.168.14.146,,0,0,1,,
77.139.248.194,"חוסר במיחזור, זיהום אוויר",1,1,1,,
176.13.239.89,בורות בכביש,0,0,1,,
46.117.187.152,,0,0,1,,
199.203.132.2,זיהום ממפעלים באיזור התעשיה סגולה,1,0,1,,
79.176.179.4,זיהום,1,0,1,,
194.230.208.138,פקקים,0,0,1,,
46.19.86.40,,0,0,1,,
185.127.10.40,,0,0,1,,
37.142.162.68,בעיית זיהום האוויר,1,0,1,,
176.12.154.213,,0,0,1,,
132.68.179.26,תעשיות מזהמות,0,0,1,,
37.26.148.170,לא מאמין להם,0,0,1,,
185.32.179.115,,0,0,1,,
2.53.46.116,חוסר צמחיה,0,0,1,,
37.26.149.147,,0,0,1,,
2.55.60.82,,0,0,1,,
193.47.165.251,הקירבה לבתי הזיקוק,1,0,1,,
84.109.104.91,"זיהום אויר, ניקוז מי גשמים מאוד לא יעיל",1,0,1,,
89.138.154.49,,0,0,1,,
141.226.218.18,הצפיפות בעיר,0,0,1,,
109.186.43.1,,0,0,1,,
2.53.138.91,,0,0,1,,
79.180.1.92,מייזור,0,1,1,,
84.109.39.39,,0,0,1,,
195.62.18.252,חוסר נטיעות ופארקים,0,0,1,,
46.19.86.40,,0,0,1,,
176.13.23.136,,0,0,1,,
81.218.131.98,"זיהום ריח, פקקי תנועה",1,0,1,,
79.182.1.11,,0,0,1,,
2.53.53.167,זיהום האויר,1,0,1,,
46.19.85.250,זיהום האויר מהמפעלים במפרץ,1,0,1,,
89.139.199.25,ניקיון,0,0,1,,
93.172.86.4,,0,0,1,,
31.154.58.242,הארץ . והאם במריבות שרי ממשלה ותיקונים לוקחים שוחד ככול שהם יוכולים. המצב בארץ במצב גרוע אחד לא מאמין לשני. עוקצים באינטרנת.בפלפונים ,0,0,1,,
176.12.185.25,,0,0,1,,
2.55.165.232,אני לא ידעת מה זה עומר,0,0,1,,
37.142.167.8,,0,0,1,,
77.138.88.73,,0,0,1,,
89.138.83.210,,0,0,1,,
46.19.86.222,זהום אויר מבתי זיקוק בחיפה וגם הנדסת האקלים על ידי ריסוסי מטוסים,1,0,1,,
185.149.255.106,זיהום אוויר,1,0,1,,
2.55.177.135,,0,0,1,,
2.53.22.43,חניה,0,0,1,,
213.8.204.61,,0,0,1,,
37.26.146.246,זיהום האוויר ממפעלי הסביבה,1,0,1,,
79.179.9.166,בעיות חניה במרכז העיר. / שיפוצים שמתחילים ולא יודעים מתי ייגמרו,0,0,1,,
2.53.152.70,,0,0,1,,
77.138.140.81,,0,0,1,,
109.67.48.227,ערסים,0,0,1,,
213.57.51.249,הכורים הגרעיניים,0,0,1,,
5.29.91.17,שימור הסביבה,0,0,1,,
212.29.197.186,יש מפעלים בדרך לעכו שפולטים ריחות לא נעימים. וכל איזור הקישון ובתי זיקוק.,1,0,1,,
77.138.42.195,זיהום אוויר וריבוי מחלות באזור,1,0,1,,
46.116.4.164,,0,0,1,,
176.228.153.74,המפרץ,0,0,1,,
31.168.83.33,,0,0,1,,
109.186.166.35,זיהום ממפעלי מפרץ חיפה,1,0,1,,
132.68.10.145,זיהום אוויר מהמפעלים במפרץ חיפה,1,0,1,,
79.176.30.233,,0,0,1,,
176.13.15.36,,0,0,1,,
46.19.86.230,,0,0,1,,
2.53.153.71,,0,0,1,,
93.172.37.67,פקקי תנועה,0,0,1,,
2.55.45.178,זיהום אוויר,1,0,1,,
79.176.179.115,תשתיות,0,0,1,,
37.26.148.130,,0,0,1,,
87.71.139.254,פינוי האשפה ,0,0,1,,
77.138.211.98,,0,0,1,,
2.53.181.19,זיהום אוויר,1,0,1,,
2.55.56.84,זיהום אוויר,1,0,1,,
109.66.0.38,,0,0,1,,
213.57.151.215,,0,0,1,,
46.19.86.144,,0,0,1,,
193.169.70.108,זיהום אוויר חמור,1,0,1,,
77.125.108.21,,0,0,1,,
212.76.97.15,,0,0,1,,
62.90.178.213,,0,0,1,,
85.65.215.252,זיהום אוויר ,1,0,1,,
84.229.89.63,,0,0,1,,
2.53.170.104,,0,0,1,,
207.232.54.132,,0,0,1,,
46.19.86.150,בתי זיקוק ומפעלים מזהמים רבים נוספים ,1,0,1,,
2.53.10.0,"זיהום אויר, חוסר במתקני מיחזור",1,0,1,,
2.53.42.104,בעיית הירוק שהולך ןנגמר .ובעיית השדה תעופה שרוצים להקים פה ,0,0,1,,
141.226.88.25,"לכלוך, אנשים מזלזלים באיכות הסביבה ומלכלכים.",0,0,1,,
85.134.114.160,,0,0,1,,
89.138.10.96,"תשתיות הישנות של העיר, בנוסף אני דואגת שפרקים ואזורים ירוקים הולכים להעלם עקב בניה פרוע ולא מתחשבת של בינייני מגורים (למשל בניינים נבנים ללא חנייה פנימית וגם סביב הבניין אין מקום אפילו מוגדר לחניון)",0,0,1,,
62.90.203.35,"זיהום אויר ממפרץ חיפה והסביבה, אמוניה וכו'",1,0,1,,
46.19.86.179,,0,0,1,,
2.55.138.149,,0,0,1,,
79.181.106.161,"אין מספיק ריאות ירוקות בחיפה,התחילה בניה המונית על חשבון חורש טבעי",0,0,1,,
77.138.89.237,מתקן האמוניה בחיפה,0,0,1,,
77.138.150.86,,0,0,1,,
46.116.66.5,תחבורה ,0,0,1,,
141.226.218.86,,0,0,1,,
37.142.167.88,זיהום אוויר מהמפעלים בעיר,1,0,1,,
79.183.54.233,,0,0,1,,
2.53.59.194,,0,0,1,,
87.69.55.159,"אין משהו, יש שיפור בהפרדת הפסולת, מניח שאפשר יותר אם למשל היינו מפרידים גם זכוכית",0,0,1,,
77.139.7.143,שחיתות אכיפה לא חוקית של פיקוח עירייה וכ'ו,0,0,1,,
77.126.28.145,זיהום אויר,1,0,1,,
80.246.139.83,,0,0,1,,
2.53.163.151,הזיהום מבתי זיקוק,1,0,1,,
2.53.15.81,אין מספיק פחי מחזור לבקבוקים וניירות בכל רחוב /שכונה,0,0,1,,
93.172.150.31,"אתיופים, נוער שוליים",0,0,1,,
77.125.82.233,,0,0,1,,
79.181.84.132,המון זיהום ולכלוך וזבל בחופים ובתוך הים.,0,0,1,,
89.138.159.238,זיהום ותחבורה ,0,0,1,,
79.182.131.36,,0,0,1,,
62.219.33.46,,0,0,1,,
79.177.61.57,,0,0,1,,
31.154.173.26,,0,0,1,,
109.66.18.11,שום דבר לא מפריעה לי כרגע / בגלל שאני עוד צעיר אבל שאני יגדל אז בטוח / שיהיו הרבה דברים..,0,0,1,,
46.121.83.7,צצצצ,0,0,1,,
185.120.124.51,,0,0,1,,
37.142.82.206,,0,0,1,,
93.172.134.41,,0,0,1,,
185.32.176.143,אנרכיה,0,0,1,,
37.46.38.5,,0,0,1,,
109.64.55.188,בתי זיקוק!!,1,0,1,,
89.237.121.240,,0,0,1,,
132.68.50.194,ראש העיר,0,0,1,,
81.218.71.132,שפכים,0,0,1,,
37.26.148.145,אין,0,0,1,,
37.142.185.154,"שלכת, ארנונה",0,0,1,,
82.166.99.178,"לכלוך, עשן",0,0,1,,
2.53.43.96,,0,0,1,,
2.53.49.195,יתושים,0,0,1,,
141.226.181.194,,0,0,1,,
109.186.101.210,אי מיחזור זבל אורגני,0,1,1,,
109.65.100.200,,0,0,1,,
147.234.241.1,מעט שטחים ירוקים / מתקני פנאי וספורט,0,0,1,,
141.226.232.53,,0,0,1,,
85.250.162.29,,0,0,1,,
